### ** My BOM **
** This is my BOM whill encludes everything which I need and which I alrady have. It also have the total price of my project. ** 


Item,Quantity,Price (USD),Source,Link
Dual Hub Motors with Trucks and Wheels,1 set,76,Facebook Marketplace,N/A (already purchased)
ESC + Remote Controller,1,58,AliExpress,https://www.aliexpress.com/item/1005006417913529.html
Battery Pack (36V 10S2P),1,150,Puaida,https://www.puaida.com/products/36v-battery-for-electirc-skateboards?variant=43630754496704
Thread Locker (Blue),1,2,AliExpress,https://www.aliexpress.com/item/1005008992937127.html
Rubber Shock Pads (3mm),1 set,3,AliExpress,https://www.aliexpress.com/item/1005009151705318.html
Maple Plywood Sheets,7–9,0,Already Owned,N/A
Wood Glue,1 bottle,0,Already Owned,N/A
Foam (for Deck Mold),1 sheet,0,Already Owned,N/A
Vacuum Seal Bag + Pump,1 set,0,Already Owned,N/A
PETG Filament (1kg),1 roll,0,Already Owned,N/A
Metal Plate (for Housing Support),1,0,Already Owned,N/A
Screws, Nuts, Washers,Assorted,0,Already Owned,N/A
Grip Tape,1 roll,0,Already Owned,N/A


** Total price: 289 USD **
